iter SLP Tperiod AMP_WK Xslp
487 0.07 11 1.17 885.54
488 0.07 11 1.28 885.54
489 0.07 11 1.39 885.54
490 0.07 11 1.5 885.54
491 0.07 12 0.5 885.54
492 0.07 12 0.61 885.54
493 0.07 12 0.72 885.54
494 0.07 12 0.83 885.54
495 0.07 12 0.94 885.54
496 0.07 12 1.06 885.54
497 0.07 12 1.17 885.54
498 0.07 12 1.28 885.54
499 0.07 12 1.39 885.54
500 0.07 12 1.5 885.54
501 0.08 3 0.5 895.43
502 0.08 3 0.61 895.43
503 0.08 3 0.72 895.43
504 0.08 3 0.83 895.43
505 0.08 3 0.94 895.43
506 0.08 3 1.06 895.43
507 0.08 3 1.17 895.43
508 0.08 3 1.28 895.43
509 0.08 3 1.39 895.43
510 0.08 3 1.5 895.43
511 0.08 4 0.5 895.43
512 0.08 4 0.61 895.43
513 0.08 4 0.72 895.43
514 0.08 4 0.83 895.43
515 0.08 4 0.94 895.43
516 0.08 4 1.06 895.43
517 0.08 4 1.17 895.43
518 0.08 4 1.28 895.43
519 0.08 4 1.39 895.43
520 0.08 4 1.5 895.43
521 0.08 5 0.5 895.43
522 0.08 5 0.61 895.43
523 0.08 5 0.72 895.43
524 0.08 5 0.83 895.43
525 0.08 5 0.94 895.43
526 0.08 5 1.06 895.43
527 0.08 5 1.17 895.43
528 0.08 5 1.28 895.43
529 0.08 5 1.39 895.43
530 0.08 5 1.5 895.43
531 0.08 6 0.5 895.43
532 0.08 6 0.61 895.43
533 0.08 6 0.72 895.43
534 0.08 6 0.83 895.43
535 0.08 6 0.94 895.43
536 0.08 6 1.06 895.43
537 0.08 6 1.17 895.43
538 0.08 6 1.28 895.43
539 0.08 6 1.39 895.43
540 0.08 6 1.5 895.43
541 0.08 7 0.5 895.43
542 0.08 7 0.61 895.43
543 0.08 7 0.72 895.43
544 0.08 7 0.83 895.43
545 0.08 7 0.94 895.43
546 0.08 7 1.06 895.43
547 0.08 7 1.17 895.43
548 0.08 7 1.28 895.43
549 0.08 7 1.39 895.43
550 0.08 7 1.5 895.43
551 0.08 8 0.5 895.43
552 0.08 8 0.61 895.43
553 0.08 8 0.72 895.43
554 0.08 8 0.83 895.43
555 0.08 8 0.94 895.43
556 0.08 8 1.06 895.43
557 0.08 8 1.17 895.43
558 0.08 8 1.28 895.43
559 0.08 8 1.39 895.43
560 0.08 8 1.5 895.43
561 0.08 9 0.5 895.43
562 0.08 9 0.61 895.43
